Timestamp,Sensor,Temperature,Unit
2025-06-14T06:30:51.971Z,Sensor-1,26.70,°C
2025-06-14T06:30:53.996Z,Sensor-1,26.70,°C
2025-06-14T06:30:56.022Z,Sensor-1,26.70,°C
2025-06-14T06:30:58.049Z,Sensor-1,26.70,°C
2025-06-14T06:31:00.074Z,Sensor-1,26.70,°C
2025-06-14T06:31:02.102Z,Sensor-1,26.70,°C
2025-06-14T06:31:04.128Z,Sensor-1,26.70,°C
2025-06-14T06:31:06.154Z,Sensor-1,26.70,°C
2025-06-14T06:31:08.180Z,Sensor-1,26.70,°C
2025-06-14T06:31:10.206Z,Sensor-1,26.70,°C
2025-06-14T06:31:12.232Z,Sensor-1,26.70,°C
2025-06-14T06:31:14.258Z,Sensor-1,26.70,°C
2025-06-14T06:31:16.283Z,Sensor-1,26.70,°C
2025-06-14T06:31:19.436Z,Sensor-1,26.70,°C
2025-06-14T06:31:21.263Z,Sensor-1,26.70,°C
2025-06-14T06:31:23.288Z,Sensor-1,26.70,°C
2025-06-14T06:31:25.315Z,Sensor-1,27.10,°C
2025-06-14T06:31:27.341Z,Sensor-1,27.10,°C
2025-06-14T06:31:29.368Z,Sensor-1,27.60,°C
2025-06-14T06:31:31.394Z,Sensor-1,27.60,°C
2025-06-14T06:31:33.419Z,Sensor-1,27.60,°C
2025-06-14T06:31:35.445Z,Sensor-1,27.60,°C
2025-06-14T06:31:37.471Z,Sensor-1,28.00,°C
2025-06-14T06:31:39.498Z,Sensor-1,28.00,°C
2025-06-14T06:31:41.523Z,Sensor-1,28.50,°C
2025-06-14T06:31:43.550Z,Sensor-1,29.30,°C
2025-06-14T06:31:45.576Z,Sensor-1,29.30,°C
2025-06-14T06:31:47.601Z,Sensor-1,29.80,°C
2025-06-14T06:31:49.627Z,Sensor-1,29.80,°C
2025-06-14T06:31:51.653Z,Sensor-1,30.20,°C
2025-06-14T06:31:53.680Z,Sensor-1,30.80,°C
2025-06-14T06:31:55.706Z,Sensor-1,30.80,°C
2025-06-14T06:31:57.733Z,Sensor-1,31.30,°C
2025-06-14T06:31:59.759Z,Sensor-1,31.30,°C
2025-06-14T06:32:01.785Z,Sensor-1,31.80,°C
2025-06-14T06:32:03.810Z,Sensor-1,31.80,°C
2025-06-14T06:32:05.837Z,Sensor-1,31.80,°C
2025-06-14T06:32:07.862Z,Sensor-1,31.80,°C
2025-06-14T06:32:09.888Z,Sensor-1,31.30,°C
2025-06-14T06:32:11.914Z,Sensor-1,31.30,°C
2025-06-14T06:32:13.940Z,Sensor-1,31.30,°C
2025-06-14T06:32:15.966Z,Sensor-1,30.80,°C
2025-06-14T06:32:17.992Z,Sensor-1,30.80,°C
2025-06-14T06:32:20.018Z,Sensor-1,30.80,°C
2025-06-14T06:32:22.044Z,Sensor-1,30.20,°C
2025-06-14T06:32:24.070Z,Sensor-1,30.20,°C
2025-06-14T06:32:26.097Z,Sensor-1,30.20,°C
2025-06-14T06:32:28.122Z,Sensor-1,29.80,°C
2025-06-14T06:32:30.149Z,Sensor-1,29.80,°C
2025-06-14T06:32:32.175Z,Sensor-1,29.80,°C
2025-06-14T06:32:34.200Z,Sensor-1,29.30,°C
2025-06-14T06:32:36.226Z,Sensor-1,29.30,°C
2025-06-14T06:32:38.252Z,Sensor-1,29.30,°C
2025-06-14T06:32:40.278Z,Sensor-1,29.30,°C
2025-06-14T06:32:42.304Z,Sensor-1,28.90,°C
2025-06-14T06:32:44.330Z,Sensor-1,28.90,°C
2025-06-14T06:32:46.356Z,Sensor-1,28.90,°C
2025-06-14T06:32:48.382Z,Sensor-1,28.90,°C
2025-06-14T06:32:50.408Z,Sensor-1,28.90,°C
2025-06-14T06:32:52.435Z,Sensor-1,28.90,°C
2025-06-14T06:32:54.460Z,Sensor-1,28.90,°C
2025-06-14T06:32:56.486Z,Sensor-1,28.50,°C
